Connector,Title,Content,Displaytitle,Category,Resourcetype,Featureimage,Resourcepopupimage,Resourcepopupurl,Filetitle,Filetype,Downloadablefile,Externallink,Audiopreview,Previewonly,Maindownload,Note
1,Boost_L1_SB_Introduction_T1,,Boost_L1_SB_Introduction_T1,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Boost_L1_SB_Introduction_T1.mp3,,1,1,0,
2,Boost_L1_SB_U1_T2,,Boost_L1_SB_U1_T2,,audio-file,,,,,wav,http://chinaweb.pprod4.ilongman.com/wp-content/uploads/Boost_L1_SB_U1_T2.mp3,,1,1,0,
