title,content,displaytitle,category,resourcetype,featureimage,resourcepopupimage,resourcepopupurl,filetitle,filetype,downloadablefile,externallink,audiopreview,previewonly,maindownload,note
不尊重其他文化,,不尊重其他文化,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/不尊重其他文化.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/不尊重其他文化.jpg,不尊重其他文化,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/不尊重其他文化.jpg,,,,1,
中國贈送熊貓,,中國贈送熊貓,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/中國贈送熊貓.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/中國贈送熊貓.jpg,中國贈送熊貓,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/中國贈送熊貓.jpg,,,,1,
倫敦塔橋,,倫敦塔橋,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/倫敦塔橋.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/倫敦塔橋.jpg,倫敦塔橋,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/倫敦塔橋.jpg,,,,1,
傳統中式婚服,,傳統中式婚服,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/傳統中式婚服.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/傳統中式婚服.jpg,傳統中式婚服,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/傳統中式婚服.jpg,,,,1,
全球化影響,,全球化影響,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化影響.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化影響.jpg,全球化影響,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化影響.jpg,,,,1,
全球化現象,,全球化現象,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化現象.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化現象.jpg,全球化現象,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/全球化現象.jpg,,,,1,
冰屋,,冰屋,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋.jpg,冰屋,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋.jpg,,,,1,
冰屋2,,冰屋2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋2.jpg,冰屋2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋2.jpg,,,,1,
冰屋3,,冰屋3,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋3.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋3.jpg,冰屋3,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/冰屋3.jpg,,,,1,
